Age,Attrition,BusinessTravel,Department,DistanceFromHome,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,NumCompaniesWorked,MonthlyIncome,OverTime,PercentSalaryHike,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
28.0,No,Travel_Rarely,Sales,5.0,4.0,Male,3.0,Sales Executive,1.0,,8463.0,No,18.0,3.0,5.0,4.0,1.0
53.0,No,Travel_Rarely,Research & Development,13.0,4.0,Female,4.0,Manufacturing Director,1.0,1.0,,No,11.0,3.0,4.0,2.0,1.0
24.0,Yes,Travel_Rarely,Human Resources,22.0,4.0,,1.0,Human Resources,3.0,1.0,1555.0,No,11.0,3.0,1.0,0.0,0.0
45.0,No,Travel_Rarely,Research & Development,,2.0,Male,3.0,Research Scientist,1.0,2.0,9724.0,No,17.0,3.0,1.0,0.0,0.0
,No,Travel_Rarely,Research & Development,5.0,4.0,Male,3.0,Laboratory Technician,2.0,8.0,5914.0,No,16.0,4.0,13.0,11.0,3.0
34.0,No,Travel_Rarely,Sales,14.0,3.0,Female,3.0,,3.0,,2579.0,Yes,18.0,3.0,8.0,2.0,0.0
35.0,No,Travel_Rarely,Research & Development,22.0,4.0,Male,1.0,Laboratory Technician,3.0,0.0,4230.0,No,15.0,3.0,5.0,4.0,4.0
39.0,No,,Research & Development,1.0,3.0,Female,3.0,Laboratory Technician,3.0,7.0,2232.0,No,14.0,3.0,3.0,2.0,1.0
45.0,,Non-Travel,Sales,6.0,4.0,Female,2.0,Sales Executive,4.0,6.0,8865.0,No,12.0,3.0,19.0,7.0,12.0
35.0,No,Travel_Rarely,Research & Development,8.0,4.0,,4.0,Laboratory Technician,,1.0,2269.0,No,19.0,3.0,1.0,0.0,0.0
47.0,No,Travel_Rarely,Sales,2.0,4.0,Female,2.0,Sales Representative,4.0,1.0,3294.0,Yes,18.0,2.0,3.0,2.0,1.0
43.0,No,Travel_Rarely,Sales,4.0,4.0,Female,,Sales Executive,4.0,,10231.0,No,14.0,4.0,21.0,7.0,15.0
44.0,No,Travel_Rarely,Research & Development,4.0,4.0,Male,3.0,Healthcare Representative,2.0,9.0,5933.0,No,12.0,2.0,5.0,2.0,2.0
40.0,No,Travel_Rarely,,10.0,4.0,Female,4.0,Laboratory Technician,3.0,,2213.0,Yes,13.0,3.0,7.0,7.0,1.0
22.0,No,Travel_Rarely,Research & Development,1.0,4.0,Male,3.0,Research Scientist,3.0,0.0,3375.0,No,12.0,4.0,3.0,2.0,1.0
30.0,No,Travel_Frequently,Research & Development,2.0,4.0,Female,2.0,Research Scientist,1.0,0.0,4968.0,No,16.0,3.0,,7.0,0.0
29.0,No,,,1.0,4.0,Male,4.0,Healthcare Representative,3.0,8.0,6294.0,Yes,12.0,4.0,3.0,2.0,0.0
36.0,Yes,Travel_Rarely,Research & Development,16.0,3.0,,4.0,Laboratory Technician,1.0,1.0,2743.0,No,16.0,3.0,17.0,13.0,15.0
47.0,Yes,Non-Travel,Research & Development,29.0,1.0,Male,3.0,,2.0,,,Yes,12.0,2.0,10.0,7.0,9.0
34.0,No,Travel_Frequently,Research & Development,15.0,,Male,3.0,Research Director,1.0,7.0,17007.0,No,14.0,,14.0,8.0,6.0
31.0,Yes,Travel_Frequently,Research & Development,29.0,3.0,Male,2.0,Laboratory Technician,2.0,0.0,,No,11.0,4.0,5.0,4.0,
47.0,No,Travel_Rarely,Research & Development,2.0,1.0,Female,3.0,Manufacturing Director,4.0,5.0,5070.0,No,13.0,3.0,5.0,0.0,0.0
32.0,No,Travel_Rarely,Sales,7.0,4.0,Male,3.0,Sales Executive,4.0,4.0,,No,12.0,2.0,4.0,3.0,0.0
38.0,No,Travel_Rarely,Sales,7.0,1.0,Female,4.0,Sales Executive,1.0,1.0,5605.0,Yes,24.0,3.0,8.0,0.0,7.0
33.0,No,Travel_Rarely,Sales,8.0,1.0,Male,3.0,Sales Executive,1.0,2.0,6392.0,No,13.0,1.0,2.0,2.0,2.0
55.0,No,Travel_Rarely,Sales,26.0,3.0,,2.0,Manager,4.0,1.0,19586.0,No,21.0,3.0,36.0,6.0,2.0
27.0,No,,Research & Development,,2.0,Female,3.0,Research Scientist,3.0,1.0,2318.0,No,19.0,3.0,1.0,1.0,0.0
,No,Travel_Rarely,Sales,1.0,1.0,Male,4.0,Sales Executive,1.0,1.0,4037.0,No,22.0,3.0,9.0,8.0,0.0
44.0,No,Travel_Rarely,Research & Development,20.0,4.0,Male,3.0,Research Scientist,2.0,,,No,13.0,2.0,5.0,2.0,1.0
34.0,No,Travel_Rarely,Research & Development,2.0,4.0,Male,2.0,Manufacturing Director,1.0,6.0,5957.0,No,13.0,3.0,11.0,9.0,5.0
30.0,No,Travel_Rarely,Research & Development,16.0,3.0,Male,4.0,Healthcare Representative,3.0,3.0,5294.0,No,16.0,3.0,7.0,0.0,
26.0,No,Travel_Rarely,Research & Development,2.0,,Male,4.0,Manufacturing Director,4.0,1.0,5472.0,No,12.0,3.0,8.0,7.0,1.0
40.0,No,Travel_Frequently,Research & Development,2.0,3.0,Female,4.0,Healthcare Representative,2.0,1.0,4244.0,No,24.0,3.0,8.0,7.0,3.0
37.0,No,Travel_Rarely,Research & Development,1.0,,Female,3.0,Manufacturing Director,4.0,4.0,7491.0,No,17.0,4.0,6.0,,1.0
36.0,Yes,Travel_Rarely,Sales,13.0,2.0,Male,2.0,Sales Executive,1.0,5.0,6134.0,Yes,13.0,3.0,2.0,,2.0
35.0,No,Travel_Rarely,Sales,3.0,4.0,Male,3.0,Sales Executive,4.0,,7823.0,No,13.0,3.0,10.0,9.0,0.0
40.0,No,Non-Travel,Research & Development,8.0,4.0,Male,2.0,Research Director,2.0,2.0,13757.0,No,11.0,3.0,9.0,8.0,4.0
41.0,Yes,Non-Travel,Research & Development,5.0,1.0,Male,2.0,Research Scientist,1.0,6.0,2107.0,No,17.0,1.0,1.0,0.0,0.0
28.0,Yes,Travel_Rarely,Research & Development,5.0,3.0,Male,3.0,Laboratory Technician,3.0,1.0,3441.0,Yes,13.0,2.0,2.0,2.0,2.0
28.0,No,Travel_Rarely,Research & Development,1.0,3.0,Female,3.0,Research Scientist,1.0,1.0,3591.0,No,25.0,3.0,3.0,2.0,1.0
38.0,No,Travel_Rarely,Sales,1.0,1.0,Female,2.0,Sales Executive,4.0,4.0,8686.0,No,22.0,4.0,8.0,3.0,0.0
40.0,No,Travel_Rarely,Sales,9.0,1.0,Male,3.0,Sales Executive,1.0,0.0,5473.0,No,12.0,4.0,8.0,4.0,7.0
32.0,No,Non-Travel,Research & Development,1.0,4.0,Male,3.0,,1.0,4.0,4087.0,No,14.0,2.0,6.0,5.0,1.0
38.0,No,Travel_Frequently,Research & Development,3.0,3.0,Male,3.0,Research Scientist,3.0,3.0,2821.0,No,16.0,3.0,2.0,2.0,2.0
33.0,Yes,,Sales,5.0,4.0,Female,3.0,Sales Representative,3.0,1.0,2851.0,Yes,13.0,3.0,1.0,0.0,0.0
38.0,No,Non-Travel,Sales,2.0,4.0,Male,2.0,Sales Executive,4.0,3.0,,No,18.0,3.0,8.0,7.0,7.0
40.0,Yes,Travel_Rarely,Sales,25.0,4.0,Male,2.0,Sales Executive,2.0,2.0,9094.0,,12.0,3.0,5.0,4.0,1.0
33.0,Yes,Travel_Rarely,Sales,16.0,1.0,Female,3.0,Sales Executive,1.0,,5324.0,No,15.0,3.0,3.0,2.0,0.0
50.0,Yes,Travel_Frequently,Sales,8.0,2.0,Male,3.0,Sales Executive,3.0,,6796.0,Yes,14.0,,4.0,3.0,1.0
,Yes,Non-Travel,Research & Development,10.0,1.0,Female,2.0,Research Scientist,2.0,1.0,1859.0,Yes,25.0,4.0,1.0,,0.0
46.0,,Travel_Rarely,Research & Development,2.0,1.0,Male,3.0,Research Director,3.0,6.0,17861.0,No,13.0,1.0,3.0,2.0,0.0
31.0,No,Travel_Rarely,Research & Development,5.0,3.0,Male,,Research Scientist,4.0,0.0,4821.0,Yes,12.0,3.0,5.0,2.0,0.0
,No,Travel_Rarely,Research & Development,6.0,1.0,Male,3.0,Research Director,,7.0,19537.0,No,13.0,3.0,20.0,18.0,15.0
34.0,No,Travel_Rarely,,15.0,3.0,Female,3.0,Sales Executive,1.0,1.0,6125.0,No,12.0,4.0,10.0,8.0,9.0
29.0,No,,Research & Development,9.0,4.0,Female,3.0,Laboratory Technician,3.0,9.0,2974.0,No,17.0,3.0,5.0,3.0,1.0
32.0,No,Travel_Frequently,Research & Development,2.0,4.0,Female,3.0,Research Scientist,3.0,4.0,4998.0,Yes,14.0,3.0,8.0,7.0,0.0
40.0,No,Travel_Rarely,Research & Development,19.0,,Male,3.0,Laboratory Technician,4.0,8.0,,Yes,15.0,4.0,7.0,2.0,3.0
33.0,No,Travel_Frequently,Research & Development,,4.0,Male,3.0,Healthcare Representative,3.0,1.0,5968.0,No,20.0,3.0,9.0,7.0,2.0
34.0,No,Travel_Rarely,,8.0,,Female,3.0,Healthcare Representative,3.0,3.0,6142.0,No,11.0,3.0,5.0,1.0,4.0
39.0,No,Travel_Frequently,Research & Development,4.0,1.0,Female,3.0,Manufacturing Director,3.0,,,No,13.0,1.0,9.0,2.0,3.0
45.0,No,Travel_Rarely,Human Resources,4.0,3.0,Female,1.0,Human Resources,3.0,4.0,9756.0,No,21.0,4.0,5.0,0.0,0.0
21.0,Yes,Travel_Rarely,Research & Development,10.0,3.0,Female,2.0,Laboratory Technician,1.0,1.0,1416.0,No,13.0,2.0,1.0,0.0,1.0
31.0,Yes,Travel_Frequently,Research & Development,1.0,3.0,Female,4.0,Manufacturing Director,2.0,1.0,7446.0,No,11.0,3.0,10.0,8.0,4.0
50.0,No,Travel_Rarely,Research & Development,2.0,3.0,Male,3.0,Research Director,3.0,5.0,17639.0,No,16.0,3.0,4.0,3.0,0.0
37.0,Yes,Travel_Rarely,Research & Development,11.0,1.0,Female,,Healthcare Representative,2.0,5.0,4777.0,No,15.0,1.0,1.0,,0.0
35.0,Yes,Travel_Rarely,Research & Development,23.0,2.0,Male,2.0,Manufacturing Director,3.0,3.0,5916.0,Yes,13.0,3.0,1.0,0.0,0.0
27.0,No,Travel_Rarely,Sales,8.0,2.0,,3.0,Sales Executive,2.0,1.0,6214.0,No,,,8.0,7.0,0.0
37.0,No,Travel_Rarely,Research & Development,7.0,4.0,Male,3.0,Research Scientist,1.0,5.0,4284.0,Yes,22.0,3.0,5.0,3.0,0.0
28.0,No,Travel_Rarely,Research & Development,8.0,4.0,Female,3.0,Research Scientist,,1.0,3310.0,No,21.0,3.0,5.0,3.0,0.0
40.0,No,Travel_Rarely,Human Resources,6.0,,Male,3.0,Manager,4.0,1.0,16437.0,Yes,21.0,3.0,21.0,7.0,7.0
36.0,No,Travel_Rarely,Sales,,3.0,Male,2.0,Sales Executive,2.0,2.0,5507.0,No,,1.0,4.0,2.0,1.0
46.0,No,Travel_Rarely,Sales,2.0,,Female,3.0,Manager,1.0,,18947.0,No,12.0,2.0,2.0,2.0,2.0
37.0,No,Travel_Rarely,Sales,,4.0,Male,3.0,Sales Executive,3.0,4.0,9602.0,Yes,11.0,2.0,3.0,0.0,1.0
35.0,No,Travel_Rarely,Sales,1.0,3.0,Male,2.0,Sales Executive,1.0,0.0,4312.0,No,14.0,3.0,15.0,13.0,2.0
